date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:16	454671/454671	---M--	200	added ('OK')	image/jpeg	etag:%2213a134-6f00f-436760f34c500%22	https://www.histag-schaumburg.de/data/pool/d964427693.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d9644276939902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/124?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:17	19967/19967	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:13%20GMT	https://www.histag-schaumburg.de/page/page_ID/114/action/112/page/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/114/action/112/page/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/114/action/112/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:18	29848/29848	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:15%20GMT	https://www.histag-schaumburg.de/page/page_ID/115/action/114/page/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/115/action/114/page/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/115/action/114/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:19	8626/8626	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:16%20GMT	https://www.histag-schaumburg.de/page/page_ID/116/action/115/page/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/116/action/115/page/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/116/action/115/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:20	6953/6953	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:17%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:21	7086/7086	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:18%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/2?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/29902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:22	7180/7180	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:19%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/3?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/39902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:23	7039/7039	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:20%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/4?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/49902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:24	6968/6968	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:20%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/5?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/59902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:25	7009/7009	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:22%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/6?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/69902.html	(from https://www.histag-schaumburg.de/page/page_ID/147?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
